## 泌尿系统疾病

1. 肾小球肾炎属于
A. 化脓性炎
B. 纤维素性炎
C. 肉芽肿性炎
D. 出血性炎
E. 非化脓性变态反应性炎
【参考答案】 E

2. 不符合肾小球肾炎的描述是
A. 可由循环免疫复合物引起
B. 可由原位免疫复合物引起
C. 可由肾小球固有抗原引起
D. 可由肾小球植入抗原引起
E. 可由细菌感染引起
【参考答案】 E

3. 肾小球肾炎属于
A. I型变态反应
B. II型变态反应
C. III型变态反应
D. IV型变态反应
E. 以上都不是
【参考答案】 C

4. 不符合肾小球的描述是
A. 再生能力强
B. 由毛细血管丛和肾球囊构成
C. 滤过膜由内皮细胞、基底膜和上皮细胞构成
D. 系膜细胞具有吞噬功能
E. 滤过膜带负电荷
【参考答案】 A

5. 非免疫复合物性肾小球肾炎时，引起肾小球损伤的因素是
A. 补体
B. 血小板
C. 中性粒细胞
D. 巨噬细胞
E. T 细胞
【参考答案】 E

6. 不属于内源性抗原的是
A. 肿瘤抗原
B. 基底膜抗原
C. 异种血清
D. 核抗原
E. Heymann 抗原
【参考答案】 C

7. 可引起原位免疫复合物性肾小球肾炎的植入性抗原是
A. 基底膜抗原
B. Heymann 抗原
C. 聚合性 IgG
D. 内皮细胞膜抗原
E. 系膜细胞膜抗原
【参考答案】 C

8. 不符合循环免疫复合物引起的肾小球肾炎的描述是
A. 由肾小球性抗原引起
B. 由非肾小球性抗原引起
C. 抗原抗体在血液中形成复合物
D. 抗原抗体复合物沉积于肾小球引起炎症
E. 免疫复合物的大小、所带电荷在发病中起重要作用
【参考答案】 A

9. 急性链球菌感染后肾小球肾炎属于
A. 弥漫性毛细血管内增生性肾小球肾炎
B. 弥漫性新月体性肾小球肾炎
C. 弥漫性膜性肾小球肾炎
D. 弥漫性膜性增生性肾小球肾炎
E. 轻微病变性肾小球肾炎
【参考答案】 A

10. 弥漫性毛细血管内增生性肾小球肾炎增生的细胞是
A. 肾小球球囊壁层上皮细胞
B. 肾小球球囊脏层上皮细胞
C. 肾小球系膜细胞和内皮细胞
D. 肾小球内皮细胞
E. 肾小球系膜细胞
【参考答案】 C

11. 不符合弥漫性毛细血管内增生性肾小球肾炎的是
A. 肾小球内皮细胞增生
B. 肾小球系膜细胞增生
C. 肾小球基底膜弥漫性增厚
D. 肾小球毛细血管壁显示 IgG 和 C3 的颗粒荧光
E. 肾小球基底膜外侧有驼峰状电子致密物
【参考答案】 C

12. 不符合弥漫性毛细血管内增生性肾小球肾炎的描述是
A. 可引起大红肾
B. 双肾弥漫受累
C. 发生于链球菌感染后
D. 表现为急性肾炎综合征
E. 预后差
【参考答案】 E

13. 弥漫性毛细血管内增生性肾小球肾炎电镜下病变特点是
A. 毛细血管基底膜内皮细胞下见致密沉积物
B. 毛细血管基底膜上皮侧见驼峰状致密沉积物
C. 脏层上皮细胞足突融合
D. 毛细血管基底膜严重缺损
E. 毛细血管基底膜内见致密沉积物
【参考答案】 B

14. 不符合弥漫性毛细血管内增生性肾小球肾炎尿液变化的是
A. 少尿无尿
B. 血尿
C. 蛋白尿
D. 管型尿
E. 脓尿
【参考答案】 E

15. 绝大多数能治愈的肾小球肾炎是
A. 弥漫性膜性增生性肾小球肾炎
B. 弥漫性新月体性肾小球肾炎
C. 弥漫性毛细血管内增生性肾小球肾炎
D. 弥漫性膜性肾小球肾炎
E. 肺出血肾炎综合征
【参考答案】 C

16. 弥漫性毛细血管内增生性肾小球肾炎的临床表现常为
A. 肾病综合征
B. 急性肾炎综合征
C. 慢性肾炎综合征
D. 隐匿性肾炎综合征
E. 急进性肾炎综合征
【参考答案】 B

17. 弥漫性新月体性肾小球肾炎中新月体的细胞是
A. 肾小球球囊壁层上皮细胞
B. 肾小球球囊壁层上皮细胞和单核巨噬细胞
C. 肾小球球囊脏层上皮细胞和单核巨噬细胞
D. 肾小球系膜细胞和内皮细胞
E. 肾小球系膜细胞
【参考答案】 B

18. 弥漫性毛细血管外增生性肾小球肾炎的主要病变为
A. 肾小球毛细血管基底膜增厚
B. 肾小球内皮细胞增生
C. 肾小球系膜细胞
D. 肾小球硬化
E. 新月体形成
【参考答案】 E

19. 弥漫性新月体性肾小球肾炎常见的临床症状是
A. 肾病综合征
B. 急性肾炎综合征
C. 慢性肾炎综合征
D. 隐匿性肾炎综合征
E. 急进性肾炎综合征
【参考答案】 E

20. 常导致急性肾功能衰竭的肾小球肾炎是
A. 弥漫性新月体性肾小球肾炎
B. 弥漫性系膜增生性肾小球肾炎
C. 弥漫性膜性肾小球肾炎
D. 轻微病变性肾小球肾炎
E. 局灶性肾小球肾炎
【参考答案】 A

21. 不易演变成新月体性肾小球肾炎的是
A. 弥漫性毛细血管增生性肾小球肾炎
B. 抗基底膜性肾小球肾炎
C. 弥漫性膜性增生性肾小球肾炎
D. 弥漫性系膜增生性肾小球肾炎
E. 轻微病变性肾小球肾炎
【参考答案】 E

22. 肺出血肾炎综合征肾脏的主要病变是
A. 新月体形成
B. 肾小球毛细血管基底膜增厚
C. 肾小球内皮细胞和系膜细胞弥漫性增生
D. 肾小球系膜细胞及基质增生
E. 系膜细胞增生
【参考答案】 A

23. 免疫荧光沿基底膜呈线型分布的肾小球肾炎是
A. 弥漫性膜性肾小球肾炎
B. 轻微病变性肾小球肾炎
C. 肺出血肾炎综合征
D. 弥漫性膜性增生性肾小球肾炎
E. IgA 肾病
【参考答案】 C

24. 不符合新月体性肾小球肾炎的描述是
A. 病变严重，进展快，预后差
B. 多数肾小球新月体形成
C. 新月体由肾球囊壁层上皮和巨噬细胞构成
D. 免疫荧光沿基底膜呈线性分布
E. 基底膜变性断裂
【参考答案】 D

25. 弥漫性膜性肾小球肾炎的主要病理特点是
A. 肾小球系膜细胞和内皮细胞增生
B. 肾小球基底膜弥漫性增厚并有钉突形成
C. 肾小球系膜细胞增生、基底膜增厚及分层
D. 肾小球硬化
E. 肾小球无明显病变
【参考答案】 B

26. 符合弥漫性膜性肾小球肾炎的描述是
A. 肾小球系膜区免疫复合物沉积
B. 肾小球基底膜内免疫复合物沉积
C. 肾小球基底膜和上皮细胞间驼峰状免疫复合物沉积
D. 肾小球基底膜和内皮细胞间免疫复合物沉积
E. 肾小球内无免疫复合物沉积
【参考答案】 B

27. 不符合弥漫性膜性肾小球肾炎的描述是
A. 肾小球基底膜弥漫性增生
B. 肾小球基底膜有钉突形成
C. 肾小球毛细血管壁有颗粒状 IgG 和 C3 荧光
D. 肾小球系膜区有团块状 IgG 荧光
E. 肾小球基底膜外侧有多数电子致密物
【参考答案】 D

28. 弥漫性膜性肾小球肾炎光镜病变特点是
A. 肾球囊壁层上皮细胞增生
B. 肾小球内皮细胞增生
C. 小球毛细血管壁增厚系膜细胞和基质增生
D. 脏层上皮细胞足土消失融合
E. 肾小球毛细血管壁弥漫性增厚
【参考答案】 E

29. 男性，38 岁，面部及下肢浮肿两月余，尿液检查蛋白++++，肾穿刺组织光镜观察肾小球体积增大，肾小球毛细血管基底膜弥漫性增厚。此例肾炎的类型最大可能是
A. 弥漫性膜性增生性肾小球肾炎
B. 弥漫性膜性肾小球肾炎
C. 轻微病变性肾小球肾炎
D. 弥漫性新月体性肾小球肾炎
E. 弥漫性毛细血管内增生性肾小球肾炎
【参考答案】 B

30. 男性，38 岁，面部及下肢浮肿两月余，尿液检查蛋白++++，肾穿刺组织光镜观察肾小球体积增大，肾小球毛细血管基底膜弥漫性增厚。此例患者肾脏呈
A. 大红肾
B. 固缩肾
C. 大白肾
D. 蚤咬肾
E. 以上都不是
【参考答案】 C

31. 不符合弥漫性膜性肾小球肾炎的描述是
A. 起病缓慢，病程长
B. 对皮质激素治疗效果不佳
C. 晚期导致肾功能衰竭
D. 常引起肾病综合征
E. 儿童患者多见
【参考答案】 E

32. 弥漫性膜性肾小球肾炎临床上常表现为
A. 肾病综合征
B. 急性肾炎综合征
C. 慢性肾炎综合征
D. 隐匿性肾炎综合征
E. 急进性肾炎综合征
【参考答案】 A

33. 弥漫性膜性增生性肾小球肾炎增生的成分是
A. 球囊壁层上皮细胞
B. 球囊脏层上皮细胞
C. 系膜细胞和内皮细胞
D. 系膜细胞和基质
E. 内皮细胞
【参考答案】 D

34. 不符合弥漫性膜性增生性肾小球肾炎的描述是
A. 系膜细胞和系膜基质弥漫性增生
B. 肾小球基底膜弥漫性增厚
C. 肾小球系膜区 IgG 和 C3 沉积
D. 肾小球系膜区电子致密物
E. 毛细血管壁呈车轨状
【参考答案】 B

35. 不符合弥漫性膜性增生性肾小球肾炎病变特点的是
A. 系膜细胞及基质增生
B. 系膜区增宽
C. 系膜硬化
D. 系膜内无炎性细胞浸润
E. 毛细血管壁呈车轨状
【参考答案】 D

36. 低补体血症性肾小球肾炎属于
A. 弥漫性新月体性肾小球肾炎
B. 慢性硬化性肾小球肾炎
C. 轻微病变性肾小球肾炎
