## 肿瘤

1. 不符合肿瘤性增生的是
A. 增生的细胞具有异型性
B. 需致瘤因素的持续存在
C. 细胞代谢旺盛
D. 可不形成肿块
E. 相对无止境生长
【参考答案】 B

2. 肿瘤性增生区别于炎症性增生的特点是
A. 增生组织不分化不成熟
B. 血管增生
C. 纤维组织增生
D. 器官的实质细胞增生
E. 炎症细胞浸润
【参考答案】 A

3. 大肠癌的肿瘤标志是
A. CEA
B. AFP
C. CA19-9
D. 酸性磷酸酶
E. 碱性磷酸酶
【参考答案】 A

4. 前列腺癌的肿瘤标志是
A. CEA
B. AFP
C. CA19-9
D. 酸性磷酸酶
E. 碱性磷酸酶
【参考答案】 D

5. 骨肉瘤的肿瘤标志是
A. CEA
B. AFP
C. CA19-9
D. 酸性磷酸酶
E. 碱性磷酸酶
【参考答案】 E

6. 肝细胞癌的肿瘤标志是
A. CEA
B. AFP
C. CA19-9
D. 酸性磷酸酶
E. 碱性磷酸酶
【参考答案】 B

7. 胰腺癌的肿瘤标志是
A. CEA
B. AFP
C. CA19-9
D. 酸性磷酸酶
E. 碱性磷酸酶
【参考答案】 C

8. 符合肿瘤防治现状的描述是
A. 恶性肿瘤早期症状明显
B. 大多数中晚期癌的治疗效果满意
C. 早期发现、早期诊断、早期治疗具有重要意义
D. 公民对癌的防治意识已大幅度提高
E. 癌症的发病率不断下降
【参考答案】 C

9. 符合癌的肉眼形态是
A. 包膜完整
B. 火山口状
C. 分叶状
D. 质地软
E. 灰红色
【参考答案】 B

10. 弥漫型胃癌肉眼形态呈
A. 息肉状
B. 溃疡状
C. 弥漫浸润
D. 结节状
E. 囊状
【参考答案】 C

11. 诊断恶性肿瘤的组织学依据主要是
A. 细胞浆呈嗜碱性
B. 细胞核大
C. 细胞异型性明显
D. 核仁明显
E. 可见核分裂像
【参考答案】 C

12. 女性，26 岁，右乳外上象限有一直径约 2 cm 大小的圆形肿块，边界清楚，表面光滑，可移动，不疼。此肿块最可能是
A. 乳腺癌
B. 乳腺增生症
C. 乳腺纤维瘤
D. 乳腺纤维腺瘤
E. 乳腺炎症性肿块
【参考答案】 D

13. 恶性肿瘤异型性主要表现在
A. 肿瘤细胞胞浆嗜碱性
B. 可见核分裂
C. 肿瘤细胞核的多形性
D. 肿瘤细胞分泌减少
E. 组织结构紊乱
【参考答案】 C

14. 良性肿瘤异型性主要表现在
A. 细胞形态不一
B. 核分裂像增多
C. 组织结构紊乱
D. 细胞间变明显
E. 细胞分泌减少
【参考答案】 C

15. 不符合肿瘤形态特点的描述的是
A. 体积巨大的肿瘤多为恶性
B. 可发生多原发癌
C. 可形成微小癌
D. 可发生重复癌
E. 多为单发
【参考答案】 A

16. 不符合肿瘤代谢特点的是
A. DNA、RNA 合成代谢旺盛
B. 蛋白质合成代谢旺盛
C. 糖代谢以无氧酵解为主
D. 可产生肿瘤蛋白
E. 肿瘤标志物仅见于肿瘤组织
【参考答案】 E

17. 癌转移至淋巴结时，首先出现在
A. 边缘窦
B. 髓窦
C. 淋巴滤泡内
D. 副皮质区
E. 淋巴结门部
【参考答案】 A

18. 淋巴结转移性癌的确切诊断依据是
A. 淋巴结肿大
B. 淋巴结质地变硬
C. 淋巴结疼痛
D. 淋巴结内出现上皮细胞
E. 淋巴结内出现癌巢
【参考答案】 E

19. 在恶性肿瘤患者的周围血中查见恶性肿瘤细胞，说明该患者
A. 已发生了血道转移
B. 已发生了淋巴道转移
C. 已是恶性肿瘤晚期
D. 并发白血病
E. 有可能发生血道转移
【参考答案】 E

20. 左锁骨上淋巴结转移性鳞癌的原发部位最可能是
A. 甲状腺
B. 胃
C. 食管
D. 乳腺
E. 肝
【参考答案】 C

21. 男性，60 岁，上腹痛半年，因上消化道大出血，急诊入院。手术标本胃窦部粘膜可见一个巨大的火山口状溃疡。切面质硬，磁白色，侵入肌层。肝内可见数个小结节，手术切除一同送病理，支持胃癌肝转移的病理变化是
A. 小结节由肝细胞构成
B. 小结节由印戒细胞癌构成
C. 小结节由假小叶构成
D. 小结节由鳞癌细胞构成
E. 小结节由毛细血管构成
【参考答案】 B

22. 肿瘤血道转移的确切依据是
A. 肿瘤细胞侵入静脉
B. 肿瘤细胞侵入动脉
C. 肿瘤细胞出现在血液中
D. 肿瘤细胞栓塞于远隔器官
E. 在远隔器官形成与原发瘤同一组织学类型的肿瘤
【参考答案】 E

23. 胃内两个癌结节，支持胃内癌转移最可靠的依据是
A. 两个癌结节不相连
B. 两个癌结节组织学类型不同
C. 血管、淋巴管内可见癌栓
D. 两个癌结节组织学类型相同
E. 两个癌结节均发生在粘膜层
【参考答案】 D

24. 不符合癌转移的特点是
A. 可发生淋巴道转移
B. 可发生血道转移
C. 可发生种植性转移
D. 可发生跳跃转移
E. 不发生逆行转移
【参考答案】 E

25. 不易发生癌转移的器官是
A. 脑
B. 骨
C. 肺
D. 肝
E. 心
【参考答案】 E

26. 恶性肿瘤最本质的表现是
A. 浸润性生长
B. 生长迅速
C. 出现转移
D. 异型性明显
E. 有出血坏死
【参考答案】 C

27. 良性肿瘤的最显著的特点是
A. 异型性小
B. 生长缓慢
C. 不浸润周围组织
D. 出血坏死少见
E. 不转移
【参考答案】 E

28. 良性肿瘤对机体的影响最主要决定于
A. 肿瘤的病程
B. 肿瘤的大小
C. 肿瘤组织的来源
D. 肿瘤发生的部位
E. 肿瘤出现继发性变化
【参考答案】 D

29. 不符合良性肿瘤对机体的影响的描述是
A. 可发生癌变
B. 可引起内分泌紊乱
C. 可发生出血囊性变
D. 可浸润周围组织
E. 可发生转移
【参考答案】 E

30. 副肿瘤综合征是指
A. 恶性肿瘤引起的发热
B. 恶性肿瘤引起的贫血
C. 恶性肿瘤引起的营养不良
D. 恶性肿瘤引起的内分泌紊乱
E. 恶性肿瘤引起的神经功能紊乱
【参考答案】 D

31. 恶性肿瘤患者的主要死亡原因是
A. 继发大出血
B. 继发感染
C. 广泛转移
D. 疼痛
E. 营养不良
【参考答案】 C

32. 不符合副肿瘤综合征的描述是
A. 可发生于肝癌
B. 可发生于肺癌
C. 可发生于胰腺癌
D. 可发生于结肠癌
E. 不发生于肉瘤
【参考答案】 E

33. 癌前病变不包括
A. 大肠腺瘤
B. 甲状腺腺瘤
C. 膀胱乳头状瘤
D. 阴茎乳头状瘤
E. 家族性腺瘤性息肉病
【参考答案】 B

34. 原位癌的主要特征是
A. 发生于粘膜、表皮和腺体
B. 癌细胞占据上皮全层，但基底膜仍完整
C. 可以治愈
D. 上皮内出现异型性的细胞
E. 胃粘膜内癌是一种原位癌
【参考答案】 B

35. 不符合非典型增生的描述是
A. 属癌前病变
B. 增生的细胞大小形态不一、核深染、核分裂增多
C. 轻度和中度非典型增生是不可逆转的
D. 重度非典型增生需积极治疗
E. 可发展为原位癌
【参考答案】 C

36. 不属于癌前病变的是
A. 粘膜白斑
B. 乳腺纤维腺瘤
C. 结肠腺瘤性息肉病
D. 慢性萎缩性胃炎
E. 乳腺纤维囊性病
【参考答案】 B

37. 符合原位癌的是
A. 早期子宫颈癌
B. 乳腺导管内癌
C. 大肠粘膜内癌
D. 早期食管癌
E. 胃粘膜内癌
【参考答案】 B

38. 癌前病变中，需要积极治疗的病变是
A. 纤维组织增生
B. 上皮增生
C. 轻度非典型增生
D. 中度非典型增生
E. 重度非典型增生
【参考答案】 E

39. 符合癌前病变的描述是
A. 一类较高癌变潜能的病变
B. 一类已发生癌变的病变
C. 一类必然癌变的病变
D. 一类需积极手术治疗的病变
E. 一类交界性病变
【参考答案】 A

40. 上皮非典型增生是指
A. 上皮细胞单纯增生
B. 上皮细胞层次增多
C. 上皮细胞化生
D. 增生的上皮细胞具有异型性
E. 无癌变倾向
【参考答案】 D

41. 非间叶组织来源的肿瘤是
A. 骨肉瘤
B. 血管肉瘤
C. 精原细胞瘤
D. 恶性纤维组织细胞瘤
E. 平滑肌肉瘤
【参考答案】 C

42. 癌肉瘤是
A. 既有癌又有肉瘤的肿瘤
B. 腺上皮发生的恶性肿瘤
C. 色素细胞发生的恶性肿瘤
D. 间叶组织发生的恶性肿瘤
E. 鳞状上皮发生的恶性肿瘤
【参考答案】 A

43. 黑色素瘤
A. 既有癌又有肉瘤的肿瘤
B. 腺上皮发生的恶性肿瘤
C. 色素细胞发生的恶性肿瘤
D. 恶性间叶性肿瘤
E. 恶性上皮性肿瘤
【参考答案】 C

44. 不属于恶性肿瘤的是
A. 黑色素瘤
B. 淋巴瘤
C. 尤文瘤
D. 多形性腺瘤
E. 骨髓瘤
【参考答案】 D

45. 交界性肿瘤是指
A. 有两个胚层的组织构成的肿瘤
B. 介于良性与恶性肿瘤之间的肿瘤
C. 具有癌和肉瘤结构的肿瘤
D. 发生于表皮与真皮交界处的肿瘤
E. 既有鳞癌又有腺癌结构的肿瘤
【参考答案】 B
