## 淋巴造血系统疾病

1. 霍奇金淋巴瘤最常发生的部位是
A. 腹膜后淋巴结
B. 腹股沟淋巴结
C. 颈部淋巴结
D. 纵隔淋巴结
E. 腋下淋巴结
【参考答案】 C

2. III期霍奇金淋巴瘤的病变范围为
A. 限于一组淋巴结
B. 病变限于隔的一侧
C. 隔肌两侧的淋巴结、脾及邻近器官均累及
D. 限于一个结外器官
E. 扩散到淋巴结外，累及一个或多个结外器官或组织
【参考答案】 C

3. 经典霍奇金淋巴瘤预后最好的组织学类型是
A. 淋巴细胞为主型
B. 结节硬化型
C. 混合细胞型
D. 淋巴细胞削减型
E. 结节型淋巴细胞为主型
【参考答案】 A

4. 霍奇金淋巴瘤伴有明显纤维条索增生的组织学类型是
A. 淋巴细胞为主型
B. 结节硬化型
C. 混合细胞型
D. 淋巴细胞削减型
E. 结节型淋巴细胞为主型
【参考答案】 B

5. 霍奇金淋巴瘤伴有大量淋巴细胞弥漫增生的组织学类型是
A. 淋巴细胞为主型
B. 结节硬化型
C. 混合细胞型
D. 淋巴细胞削减型
E. 结节型淋巴细胞为主型
【参考答案】 A

6. 淋巴细胞显著减少的霍奇金淋巴瘤的组织学类型是
A. 淋巴细胞为主型
B. 结节硬化型
C. 混合细胞型
D. 淋巴细胞削减型
E. 结节型淋巴细胞为主型
【参考答案】 D

7. 霍奇金淋巴瘤伴有多种细胞混合增生、多数典型 R-S 细胞的组织学类型是
A. 淋巴细胞为主型
B. 结节硬化型
C. 混合细胞型
D. 淋巴细胞削减型
E. 结节型淋巴细胞为主型
【参考答案】 C

8. 霍奇金淋巴瘤伴有结节性淋巴细胞增生，肿瘤细胞为爆米花细胞的组织学类型是
A. 淋巴细胞为主型
B. 结节硬化型
C. 混合细胞型
D. 淋巴细胞削减型
E. 结节型淋巴细胞为主型
【参考答案】 E

9. 可演化为B 细胞淋巴瘤的霍奇金淋巴瘤组织学类型是
A. 淋巴细胞为主型
B. 结节硬化型
C. 混合细胞型
D. 淋巴细胞削减型
E. 结节型淋巴细胞为主型
【参考答案】 E

10. 符合霍奇金淋巴瘤预后好坏的排列顺序为
A. 混合细胞型——淋巴细胞消减型——结节硬化型——淋巴细胞为主型
B. 淋巴细胞消减型——混合细胞型——结节硬化型——淋巴细胞为主型
C. 淋巴细胞为主型——结节硬化型——淋巴细胞消减型——混合细胞型
D. 淋巴细胞为主型——结节硬化型——混合细胞型——淋巴细胞消减型
E. 淋巴细胞消减型——淋巴细胞为主型—— 结节硬化型——混合细胞型
【参考答案】 D

11. 预后最差的霍奇金病是
A. 结节硬化型
B. 淋巴细胞为主型
C. 淋巴细胞消减型
D. 混合细胞型
E. 结节型淋巴细胞为主型
【参考答案】 C

12. 霍奇金淋巴瘤的具有诊断意义的细胞是
A. 多形性细胞
B. 霍奇金细胞
C. R-S 细胞
D. 陷窝细胞
E. 爆米花细胞
【参考答案】 C

13. 霍奇金淋巴瘤中陷窝细胞多出现在
A. 淋巴细胞为主型
B. 结节硬化型
C. 混合细胞型
D. 淋巴细胞消减型
E. 结节型淋巴细胞为主型
【参考答案】 B

14. 霍奇金淋巴瘤中的非肿瘤细胞成分是
A. 霍奇金细胞
B. 组织细胞
C. 陷窝细胞
D. R-S 细胞
E. 多形性细胞
【参考答案】 B

15. R-S 细胞的组织起源是
A. B 细胞
B. T 细胞
C. 单核细胞
D. NK 细胞
E. 来源未确定
【参考答案】 A

16. II期霍奇金淋巴瘤的病变范围是
A. 限于一个淋巴结
B. 病变限于膈的一侧
C. 膈肌两侧的淋巴结、脾及邻近器官均累及
D. 限于结外一个器官
E. 弥漫扩散到淋巴结外，累及一个或多个结外器官或组织
【参考答案】 B

17. I期霍奇金淋巴瘤的病变范围是
A. 限于一个淋巴结或限于结外一个器官
B. 病变限于膈的一侧
C. 膈肌两侧的淋巴结、脾及邻近器官均累及
D. 弥漫扩散到淋巴结外，累及一个或多个结外器官或组织
E. 以上都不是
【参考答案】 A

18. IV期霍奇金淋巴瘤的病变范围是
A. 限于一个淋巴结或限于结外一个器官
B. 病变限于膈的一侧
C. 膈肌两侧的淋巴结、脾及邻近器官均累及
D. 弥漫扩散到淋巴结外，累及一个或多个结外器官或组织
E. 以上都不是
【参考答案】 D

19. 符合霍奇金淋巴瘤的描述是
A. 淋巴细胞为主型预后最差
B. 可能与 EB 病毒感染有关
C. I期肿瘤预后差
D. 淋巴细胞消减型预后最好
E. 陷窝细胞具有诊断意义
【参考答案】 B

20. 非霍奇金淋巴瘤多发生于
A. 纵隔淋巴结
B. 肠系膜淋巴结
C. 腹膜后淋巴结
D. 颈部淋巴结
E. 腋下淋巴结
【参考答案】 D

21. 非霍奇金淋巴瘤工作分类中，高度恶性的是
A. 裂细胞性
B. 小无裂细胞性
C. 大细胞性
D. 小淋巴细胞性
E. 小裂和大裂细胞
【参考答案】 C

22. Lukes-Collins 的淋巴瘤分类依据是
A. 瘤细胞形态
B. 肿瘤累及范围
C. 肿瘤细胞的免疫功能
D. 肿瘤细胞对化疗的敏感性
E. 肿瘤细胞对放疗的敏感性
【参考答案】 C

23. 非霍奇金淋巴瘤中最常见的是
A. T 细胞来源
B. B 细胞来源
C. NK 细胞来源
D. 组织细胞来源
E. Langerhans 细胞来源
【参考答案】 B

24. 符合非霍奇金淋巴瘤的描述是
A. 大多数为 T 细胞来源
B. 不引起免疫功能紊乱
C. 多为多克隆起源
D. 确诊时常有播散
E. 多需活体组织检查确诊
【参考答案】 E

25. 符合非霍奇金淋巴瘤的描述是
A. 大多数为 T 细胞来源
B. 不引起免疫功能紊乱
C. 多为单克隆起源
D. 确诊时常有播散
E. 均为高度恶性
【参考答案】 C

26. B 细胞及其肿瘤的表型特征是
A. CD2、 CD3、 CD4、 CD7、 CD8
B. CD10、 CD19、 CD20
C. CD16、 CD56
D. CD13、 CD14、 CD15
E. CD34
【参考答案】 B

27. T 细胞及其肿瘤的表型特征是
A. CD2、 CD3、 CD4、 CD7、 CD8
B. CD10、 CD19、 CD20
C. CD16、 CD56
D. CD13、 CD14、 CD15
E. CD34
【参考答案】 A

28. 低度恶性的非霍奇金淋巴瘤是
A. 滤泡性淋巴瘤
B. 弥漫性大细胞性淋巴瘤
C. 淋巴母细胞性淋巴瘤
D. Burkitt 淋巴瘤
E. 免疫母细胞性淋巴瘤
【参考答案】 A

29. 低度恶性的非霍奇金淋巴瘤是
A. 小细胞性淋巴瘤
B. 弥漫性大细胞性淋巴瘤
C. 淋巴母细胞性淋巴瘤
D. Burkitt 淋巴瘤
E. 免疫母细胞性淋巴瘤
【参考答案】 A

30. 不符合滤泡性淋巴瘤特征的是
A. 肿瘤细胞形成滤泡样结构
B. 由中心细胞构成
C. 由中心母细胞构成
D. 有 t(14;18)引起 bcl-2 过表达
E. 由 T 细胞起源
【参考答案】 E

31. 符合小淋巴细胞性淋巴瘤的描述是
A. 大部分肿瘤细胞为较成熟的淋巴细胞
B. 高度恶性
C. 形成滤泡结构
D. 与慢性淋巴细胞性白血病无重叠
E. 不引起肝脾肿大
【参考答案】 A

32. 符合弥漫型大细胞性 B 细胞淋巴瘤的描述是
A. 肿瘤细胞呈中心母细胞样或免疫母细胞样
B. 低度恶性
C. 多表达 CD2、 CD3
D. 多见于青年患者
E. 对综合化疗不敏感
【参考答案】 A

33. 不符合 Burkitt 淋巴瘤的描述是
A. 儿童多见
B. 多累及颈部淋巴结
C. B 细胞来源
D. 与 EB 病毒感染有关
E. 肿瘤细胞核分裂多见、伴有星天图像
【参考答案】 B

34. 不符合蕈样霉菌病的描述是
